img_file_name,action,episode,step,reward
0.jpg, 0, 0, 0, 0
1.jpg, 0, 0, 1, 0
2.jpg, 0, 0, 2, 0
3.jpg, 0, 0, 3, 0
4.jpg, 0, 0, 4, 0
5.jpg, 0, 0, 5, 0
6.jpg, 0, 0, 6, 0
7.jpg, 0, 0, 7, 0
8.jpg, 0, 0, 8, 0
9.jpg, 0, 0, 9, 0
10.jpg, 0, 0, 10, 0
11.jpg, 0, 0, 11, 0
12.jpg, 0, 0, 12, 0
13.jpg, 0, 0, 13, 0
14.jpg, 0, 0, 14, 0
15.jpg, 0, 0, 15, 0
16.jpg, 0, 0, 16, 0
17.jpg, 0, 0, 17, 0
18.jpg, 0, 0, 18, 0
19.jpg, 0, 0, 19, 0
20.jpg, 0, 0, 20, 0
21.jpg, 0, 0, 21, 0
22.jpg, 0, 0, 22, -1
23.jpg, 0, 0, 23, 0
24.jpg, 0, 0, 24, 0
25.jpg, 0, 0, 25, 0
26.jpg, 0, 0, 26, 0
27.jpg, 0, 0, 27, 0
28.jpg, 0, 0, 28, 0
29.jpg, 0, 0, 29, 0
30.jpg, 0, 0, 30, 0
31.jpg, 0, 0, 31, 0
32.jpg, 0, 0, 32, 0
33.jpg, 1, 0, 33, 0
34.jpg, 1, 0, 34, 0
35.jpg, 1, 0, 35, 0
36.jpg, 1, 0, 36, 0
37.jpg, 1, 0, 37, 0
38.jpg, 1, 0, 38, 0
39.jpg, 1, 0, 39, 0
40.jpg, 1, 0, 40, 1
41.jpg, 1, 0, 41, 0
42.jpg, 1, 0, 42, 0
43.jpg, 1, 0, 43, 1
44.jpg, 1, 0, 44, 0
45.jpg, 1, 0, 45, 0
46.jpg, 1, 0, 46, 0
47.jpg, 1, 0, 47, 0
48.jpg, 1, 0, 48, 1
49.jpg, 1, 0, 49, 1
50.jpg, 1, 0, 50, 0
51.jpg, 1, 0, 51, 1
52.jpg, 3, 0, 52, 1
53.jpg, 3, 0, 53, 0
54.jpg, 3, 0, 54, 1
55.jpg, 3, 0, 55, 1
56.jpg, 3, 0, 56, 1
57.jpg, 3, 0, 57, 1
58.jpg, 3, 0, 58, 1
59.jpg, 3, 0, 59, 1
60.jpg, 4, 0, 60, 1
61.jpg, 4, 0, 61, 2
62.jpg, 4, 0, 62, 1
63.jpg, 4, 0, 63, 1
64.jpg, 4, 0, 64, 1
65.jpg, 4, 0, 65, 2
66.jpg, 4, 0, 66, 1
67.jpg, 4, 0, 67, 2
68.jpg, 4, 0, 68, 1
69.jpg, 4, 0, 69, 1
70.jpg, 4, 0, 70, 1
71.jpg, 4, 0, 71, 1
72.jpg, 4, 0, 72, 2
73.jpg, 4, 0, 73, 1
74.jpg, 4, 0, 74, 2
75.jpg, 4, 0, 75, 1
76.jpg, 3, 0, 76, 2
77.jpg, 3, 0, 77, 1
78.jpg, 3, 0, 78, 2
79.jpg, 3, 0, 79, 1
80.jpg, 3, 0, 80, 2
81.jpg, 3, 0, 81, 1
82.jpg, 3, 0, 82, 2
83.jpg, 3, 0, 83, 1
84.jpg, 3, 0, 84, 2
85.jpg, 3, 0, 85, 1
86.jpg, 3, 0, 86, 2
87.jpg, 3, 0, 87, 1
88.jpg, 3, 0, 88, 2
89.jpg, 3, 0, 89, 1
90.jpg, 3, 0, 90, 2
91.jpg, 3, 0, 91, 1
92.jpg, 3, 0, 92, 2
93.jpg, 3, 0, 93, 1
94.jpg, 3, 0, 94, 1
95.jpg, 3, 0, 95, 1
96.jpg, 3, 0, 96, 2
97.jpg, 3, 0, 97, 1
98.jpg, 3, 0, 98, 2
99.jpg, 3, 0, 99, 1
100.jpg, 3, 0, 100, 2
101.jpg, 3, 0, 101, 1
102.jpg, 3, 0, 102, 2
103.jpg, 3, 0, 103, 2
104.jpg, 3, 0, 104, 1
105.jpg, 3, 0, 105, 2
106.jpg, 3, 0, 106, 2
107.jpg, 3, 0, 107, 1
108.jpg, 3, 0, 108, 2
109.jpg, 3, 0, 109, 2
110.jpg, 3, 0, 110, 2
111.jpg, 3, 0, 111, 2
112.jpg, 3, 0, 112, 2
113.jpg, 3, 0, 113, 2
114.jpg, 3, 0, 114, 3
115.jpg, 3, 0, 115, 2
116.jpg, 3, 0, 116, 2
117.jpg, 3, 0, 117, 3
118.jpg, 3, 0, 118, 1
119.jpg, 3, 0, 119, 2
120.jpg, 3, 0, 120, 3
121.jpg, 3, 0, 121, 2
122.jpg, 3, 0, 122, 3
123.jpg, 4, 0, 123, 2
124.jpg, 4, 0, 124, 3
125.jpg, 4, 0, 125, 2
126.jpg, 4, 0, 126, 3
127.jpg, 4, 0, 127, 2
128.jpg, 4, 0, 128, 3
129.jpg, 4, 0, 129, 2
130.jpg, 4, 0, 130, 3
131.jpg, 3, 0, 131, 2
132.jpg, 3, 0, 132, 3
133.jpg, 3, 0, 133, 2
134.jpg, 3, 0, 134, 3
135.jpg, 3, 0, 135, 2
136.jpg, 3, 0, 136, 3
137.jpg, 3, 0, 137, 2
138.jpg, 3, 0, 138, 3
139.jpg, 3, 0, 139, 2
140.jpg, 3, 0, 140, 3
141.jpg, 3, 0, 141, 2
142.jpg, 3, 0, 142, 2
143.jpg, 3, 0, 143, 2
144.jpg, 3, 0, 144, 3
145.jpg, 3, 0, 145, 2
146.jpg, 3, 0, 146, 3
147.jpg, 3, 0, 147, 2
148.jpg, 3, 0, 148, 3
149.jpg, 3, 0, 149, 2
150.jpg, 3, 0, 150, 3
151.jpg, 3, 0, 151, 2
152.jpg, 3, 0, 152, 3
153.jpg, 3, 0, 153, 2
154.jpg, 3, 0, 154, 3
155.jpg, 3, 0, 155, 2
156.jpg, 3, 0, 156, 3
157.jpg, 3, 0, 157, 2
158.jpg, 3, 0, 158, 3
159.jpg, 3, 0, 159, 2
160.jpg, 3, 0, 160, 3
161.jpg, 3, 0, 161, 2
162.jpg, 3, 0, 162, 3
163.jpg, 3, 0, 163, 2
164.jpg, 3, 0, 164, 3
165.jpg, 3, 0, 165, 2
166.jpg, 4, 0, 166, 2
167.jpg, 4, 0, 167, 2
168.jpg, 4, 0, 168, 3
169.jpg, 4, 0, 169, 2
170.jpg, 4, 0, 170, 3
171.jpg, 4, 0, 171, 2
172.jpg, 4, 0, 172, 3
173.jpg, 4, 0, 173, 2
174.jpg, 4, 0, 174, 3
175.jpg, 4, 0, 175, 2
176.jpg, 4, 0, 176, 3
177.jpg, 4, 0, 177, 2
178.jpg, 4, 0, 178, 3
179.jpg, 4, 0, 179, 2
180.jpg, 4, 0, 180, 3
181.jpg, 4, 0, 181, 2
182.jpg, 4, 0, 182, 3
183.jpg, 4, 0, 183, 2
184.jpg, 4, 0, 184, 3
185.jpg, 4, 0, 185, 2
186.jpg, 4, 0, 186, 3
187.jpg, 4, 0, 187, 2
188.jpg, 3, 0, 188, 3
189.jpg, 3, 0, 189, 2
190.jpg, 3, 0, 190, 2
191.jpg, 3, 0, 191, 2
192.jpg, 3, 0, 192, 3
193.jpg, 3, 0, 193, 2
194.jpg, 3, 0, 194, 3
195.jpg, 3, 0, 195, 2
196.jpg, 3, 0, 196, 3
197.jpg, 3, 0, 197, 2
198.jpg, 3, 0, 198, 3
199.jpg, 3, 0, 199, 2
200.jpg, 3, 0, 200, 3
